reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.80895961,42.94887327,0,0,76,210.3044498,2020/10/22 15:13:04+00,,,,,,,,,,,,,,,,,,,,,
-78.80898021,42.94889159,0,0,77,210.5986212,2020/10/22 15:13:06+00,,,,,,,,,,,,,,,,,,,,,
-78.80899309,42.9489223,0,0,78,210.4523665,2020/10/22 15:13:08+00,,,,,,,,,,,,,,,,,,,,,
-78.80898669,42.94895403,0,0,79,209.7810275,2020/10/22 15:13:10+00,,,,,,,,,,,,,,,,,,,,,
-78.80897846,42.94897149,0,0,80,210.0204191,2020/10/22 15:13:11+00,,,,,,,,,,,,,,,,,,,,,
-78.80896578,42.9489886,0,0,81,211.3881576,2020/10/22 15:13:13+00,,,,,,,,,,,,,,,,,,,,,
-78.80895768,42.94901387,0,0,82,210.0976724,2020/10/22 15:13:15+00,,,,,,,,,,,,,,,,,,,,,
-78.80898478,42.94902604,0,0,83,210.6130173,2020/10/22 15:13:19+00,,,,,,,,,,,,,,,,,,,,,
-78.80899839,42.94904595,0,0,84,210.6366154,2020/10/22 15:13:21+00,,,,,,,,,,,,,,,,,,,,,
-78.80896595,42.94902956,0,0,85,210.1223467,2020/10/22 15:13:23+00,,,,,,,,,,,,,,,,,,,,,
-78.80893185,42.94902694,0,0,86,209.3466173,2020/10/22 15:13:26+00,,,,,,,,,,,,,,,,,,,,,
-78.80892547,42.94900613,0,0,87,209.5844986,2020/10/22 15:13:28+00,,,,,,,,,,,,,,,,,,,,,
-78.80891727,42.94898902,0,0,88,209.6504205,2020/10/22 15:13:32+00,,,,,,,,,,,,,,,,,,,,,
-78.8089201,42.9489674,0,0,89,209.4482963,2020/10/22 15:13:40+00,,,,,,,,,,,,,,,,,,,,,
-78.80893348,42.94894767,0,0,90,209.2978249,2020/10/22 15:13:43+00,,,,,,,,,,,,,,,,,,,,,
-78.80890826,42.94895224,0,0,91,209.2709841,2020/10/22 15:13:46+00,,,,,,,,,,,,,,,,,,,,,
-78.80887872,42.94896401,0,0,92,209.3710966,2020/10/22 15:13:50+00,,,,,,,,,,,,,,,,,,,,,
-78.80886602,42.94894614,0,0,93,209.2397954,2020/10/22 15:13:56+00,,,,,,,,,,,,,,,,,,,,,
-78.80887195,42.94892832,0,0,94,209.7070544,2020/10/22 15:14:01+00,,,,,,,,,,,,,,,,,,,,,
-78.80889383,42.94891092,0,0,95,210.0430013,2020/10/22 15:14:12+00,,,,,,,,,,,,,,,,,,,,,
-78.80886979,42.94890255,0,0,96,208.0571215,2020/10/22 15:14:17+00,,,,,,,,,,,,,,,,,,,,,
-78.80885824,42.94891876,0,0,97,207.6436652,2020/10/22 15:14:28+00,,,,,,,,,,,,,,,,,,,,,
-78.80889862,42.94891825,0,0,98,209.2605424,2020/10/22 15:14:51+00,,,,,,,,,,,,,,,,,,,,,
-78.8088723,42.9489101,0,0,99,209.2042093,2020/10/22 15:14:55+00,,,,,,,,,,,,,,,,,,,,,
-78.80884727,42.94891603,0,0,100,208.8569996,2020/10/22 15:14:57+00,,,,,,,,,,,,,,,,,,,,,
-78.80884843,42.9489456,0,0,101,209.8939219,2020/10/22 15:15:04+00,,,,,,,,,,,,,,,,,,,,,
-78.8088597,42.94896231,0,0,102,208.717564,2020/10/22 15:15:06+00,,,,,,,,,,,,,,,,,,,,,
-78.80890612,42.94897456,0,0,103,209.4464321,2020/10/22 15:15:08+00,,,,,,,,,,,,,,,,,,,,,
-78.80893206,42.94898004,0,0,104,208.9728914,2020/10/22 15:15:09+00,,,,,,,,,,,,,,,,,,,,,
-78.80895218,42.94899175,0,0,105,208.7849657,2020/10/22 15:15:11+00,,,,,,,,,,,,,,,,,,,,,
-78.80896939,42.94900811,0,0,106,208.9072716,2020/10/22 15:15:13+00,,,,,,,,,,,,,,,,,,,,,
-78.80899876,42.94901257,0,0,107,209.0598887,2020/10/22 15:15:15+00,,,,,,,,,,,,,,,,,,,,,
-78.80902879,42.94901064,0,0,108,208.4550576,2020/10/22 15:15:17+00,,,,,,,,,,,,,,,,,,,,,
-78.8090557,42.94901073,0,0,109,208.9991705,2020/10/22 15:15:18+00,,,,,,,,,,,,,,,,,,,,,
-78.80909808,42.94901211,0,0,110,209.3179311,2020/10/22 15:15:20+00,,,,,,,,,,,,,,,,,,,,,
-78.80914217,42.94901203,0,0,111,209.8361951,2020/10/22 15:15:22+00,,,,,,,,,,,,,,,,,,,,,
-78.80918544,42.94900295,0,0,112,209.9042739,2020/10/22 15:15:24+00,,,,,,,,,,,,,,,,,,,,,
-78.80922705,42.94899793,0,0,113,209.6222608,2020/10/22 15:15:26+00,,,,,,,,,,,,,,,,,,,,,
-78.80927808,42.94899956,0,0,114,208.9027748,2020/10/22 15:15:28+00,,,,,,,,,,,,,,,,,,,,,
-78.80932147,42.94899187,0,0,115,209.0411463,2020/10/22 15:15:30+00,,,,,,,,,,,,,,,,,,,,,
-78.80936511,42.94899388,0,0,116,209.2444589,2020/10/22 15:15:32+00,,,,,,,,,,,,,,,,,,,,,
-78.80940427,42.94899441,0,0,117,208.7200146,2020/10/22 15:15:34+00,,,,,,,,,,,,,,,,,,,,,
-78.80944701,42.94899151,0,0,118,209.8294045,2020/10/22 15:15:36+00,,,,,,,,,,,,,,,,,,,,,
-78.80947211,42.94898937,0,0,119,210.1477261,2020/10/22 15:15:37+00,,,,,,,,,,,,,,,,,,,,,
-78.80951846,42.94899501,0,0,120,209.4181379,2020/10/22 15:15:39+00,,,,,,,,,,,,,,,,,,,,,
-78.80956036,42.94898943,0,0,121,208.8926631,2020/10/22 15:15:41+00,,,,,,,,,,,,,,,,,,,,,
-78.80958449,42.94898529,0,0,122,208.5776295,2020/10/22 15:15:42+00,,,,,,,,,,,,,,,,,,,,,
-78.80962846,42.94898289,0,0,123,209.1451084,2020/10/22 15:15:44+00,,,,,,,,,,,,,,,,,,,,,
-78.80967215,42.94898626,0,0,124,209.6893665,2020/10/22 15:15:46+00,,,,,,,,,,,,,,,,,,,,,
-78.80969161,42.94897071,0,0,125,210.0103465,2020/10/22 15:15:47+00,,,,,,,,,,,,,,,,,,,,,
-78.80973077,42.94896184,0,0,126,209.7984611,2020/10/22 15:15:49+00,,,,,,,,,,,,,,,,,,,,,
-78.80976962,42.94896548,0,0,127,209.9181155,2020/10/22 15:15:51+00,,,,,,,,,,,,,,,,,,,,,
-78.80980619,42.94895886,0,0,128,209.4680373,2020/10/22 15:15:53+00,,,,,,,,,,,,,,,,,,,,,
-78.80983881,42.9489426,0,0,129,209.2489813,2020/10/22 15:15:55+00,,,,,,,,,,,,,,,,,,,,,
-78.8098636,42.94892757,0,0,130,209.3900835,2020/10/22 15:15:57+00,,,,,,,,,,,,,,,,,,,,,
-78.80989729,42.94891217,0,0,131,209.8389927,2020/10/22 15:15:59+00,,,,,,,,,,,,,,,,,,,,,
-78.80987654,42.94893786,0,0,132,210.0139802,2020/10/22 15:16:04+00,,,,,,,,,,,,,,,,,,,,,
-78.8098566,42.94894869,0,0,133,208.9739195,2020/10/22 15:16:09+00,,,,,,,,,,,,,,,,,,,,,
-78.80986253,42.94896708,0,0,134,209.3818555,2020/10/22 15:16:13+00,,,,,,,,,,,,,,,,,,,,,
-78.80986425,42.94898576,0,0,135,208.9650802,2020/10/22 15:16:14+00,,,,,,,,,,,,,,,,,,,,,
-78.80983607,42.94897652,0,0,136,208.7506509,2020/10/22 15:16:18+00,,,,,,,,,,,,,,,,,,,,,
-78.80982865,42.94899465,0,0,137,208.969381,2020/10/22 15:16:26+00,,,,,,,,,,,,,,,,,,,,,
-78.80983692,42.9490141,0,0,138,209.1403923,2020/10/22 15:16:30+00,,,,,,,,,,,,,,,,,,,,,
-78.80981111,42.94900768,0,0,139,208.7358716,2020/10/22 15:16:33+00,,,,,,,,,,,,,,,,,,,,,
-78.80984062,42.94900142,0,0,140,209.3442821,2020/10/22 15:16:36+00,,,,,,,,,,,,,,,,,,,,,
-78.80981529,42.9489942,0,0,141,208.281373,2020/10/22 15:16:41+00,,,,,,,,,,,,,,,,,,,,,
-78.80984362,42.94899551,0,0,142,208.6153478,2020/10/22 15:16:55+00,,,,,,,,,,,,,,,,,,,,,
-78.8098645,42.94900849,0,0,143,209.284296,2020/10/22 15:16:57+00,,,,,,,,,,,,,,,,,,,,,
-78.80989656,42.94901127,0,0,144,209.0766816,2020/10/22 15:16:59+00,,,,,,,,,,,,,,,,,,,,,
-78.80993681,42.9490129,0,0,145,208.4035429,2020/10/22 15:17:02+00,,,,,,,,,,,,,,,,,,,,,
-78.80996881,42.94901328,0,0,146,208.377973,2020/10/22 15:17:04+00,,,,,,,,,,,,,,,,,,,,,
-78.81001395,42.94901339,0,0,147,208.7584846,2020/10/22 15:17:06+00,,,,,,,,,,,,,,,,,,,,,
-78.81006004,42.94901028,0,0,148,208.8351292,2020/10/22 15:17:08+00,,,,,,,,,,,,,,,,,,,,,
-78.81010297,42.94901074,0,0,149,209.5789096,2020/10/22 15:17:10+00,,,,,,,,,,,,,,,,,,,,,
-78.81014779,42.94900847,0,0,150,208.873701,2020/10/22 15:17:12+00,,,,,,,,,,,,,,,,,,,,,
-78.81019321,42.94900503,0,0,151,208.339585,2020/10/22 15:17:14+00,,,,,,,,,,,,,,,,,,,,,
-78.81023635,42.94900793,0,0,152,207.5751919,2020/10/22 15:17:16+00,,,,,,,,,,,,,,,,,,,,,
-78.81028304,42.94900092,0,0,153,208.8783606,2020/10/22 15:17:18+00,,,,,,,,,,,,,,,,,,,,,
-78.81032668,42.94899598,0,0,154,209.0483474,2020/10/22 15:17:20+00,,,,,,,,,,,,,,,,,,,,,
-78.81037488,42.94899342,0,0,155,209.2378391,2020/10/22 15:17:22+00,,,,,,,,,,,,,,,,,,,,,
-78.81041792,42.94899542,0,0,156,208.2794311,2020/10/22 15:17:24+00,,,,,,,,,,,,,,,,,,,,,
-78.8104509,42.94898188,0,0,157,208.3018764,2020/10/22 15:17:26+00,,,,,,,,,,,,,,,,,,,,,
-78.81049262,42.94898141,0,0,158,208.8275975,2020/10/22 15:17:28+00,,,,,,,,,,,,,,,,,,,,,
-78.81053792,42.94898461,0,0,159,208.6668011,2020/10/22 15:17:30+00,,,,,,,,,,,,,,,,,,,,,
-78.81058149,42.94898747,0,0,160,207.6906677,2020/10/22 15:17:32+00,,,,,,,,,,,,,,,,,,,,,
-78.81062361,42.94899292,0,0,161,208.4755308,2020/10/22 15:17:34+00,,,,,,,,,,,,,,,,,,,,,
-78.81066331,42.94899111,0,0,162,209.0484044,2020/10/22 15:17:36+00,,,,,,,,,,,,,,,,,,,,,
-78.81070028,42.94898733,0,0,163,208.8903496,2020/10/22 15:17:38+00,,,,,,,,,,,,,,,,,,,,,
-78.81073547,42.9489992,0,0,164,208.8539713,2020/10/22 15:17:40+00,,,,,,,,,,,,,,,,,,,,,
-78.81077157,42.94900337,0,0,165,208.4329967,2020/10/22 15:17:42+00,,,,,,,,,,,,,,,,,,,,,
-78.81080775,42.94900506,0,0,166,207.9886895,2020/10/22 15:17:44+00,,,,,,,,,,,,,,,,,,,,,
-78.81084811,42.9490051,0,0,167,208.3494314,2020/10/22 15:17:46+00,,,,,,,,,,,,,,,,,,,,,
-78.81089106,42.94899501,0,0,168,208.4784009,2020/10/22 15:17:48+00,,,,,,,,,,,,,,,,,,,,,
-78.81093251,42.94898752,0,0,169,208.9932514,2020/10/22 15:17:50+00,,,,,,,,,,,,,,,,,,,,,
-78.81096505,42.94897916,0,0,170,208.3524916,2020/10/22 15:17:52+00,,,,,,,,,,,,,,,,,,,,,
-78.81093633,42.9489737,0,0,171,208.6659315,2020/10/22 15:17:55+00,,,,,,,,,,,,,,,,,,,,,
-78.81091244,42.94896043,0,0,172,208.530387,2020/10/22 15:17:57+00,,,,,,,,,,,,,,,,,,,,,
-78.81091502,42.94894218,0,0,173,208.5229676,2020/10/22 15:18:01+00,,,,,,,,,,,,,,,,,,,,,
-78.81093982,42.94891734,0,0,174,208.1395432,2020/10/22 15:18:03+00,,,,,,,,,,,,,,,,,,,,,
-78.81097372,42.94889796,0,0,175,207.7032273,2020/10/22 15:18:05+00,,,,,,,,,,,,,,,,,,,,,
-78.81100493,42.94888555,0,0,176,207.7894253,2020/10/22 15:18:08+00,,,,,,,,,,,,,,,,,,,,,
-78.81103026,42.94887785,0,0,177,208.0255416,2020/10/22 15:18:11+00,,,,,,,,,,,,,,,,,,,,,
-78.81100687,42.9488899,0,0,178,208.2322168,2020/10/22 15:18:14+00,,,,,,,,,,,,,,,,,,,,,
-78.81101702,42.94891549,0,0,179,208.0495643,2020/10/22 15:18:24+00,,,,,,,,,,,,,,,,,,,,,
-78.81098232,42.94890977,0,0,180,208.6898813,2020/10/22 15:18:29+00,,,,,,,,,,,,,,,,,,,,,
-78.81099065,42.94892827,0,0,181,207.4540197,2020/10/22 15:18:41+00,,,,,,,,,,,,,,,,,,,,,
-78.81101309,42.94891743,0,0,182,207.628474,2020/10/22 15:18:50+00,,,,,,,,,,,,,,,,,,,,,
-78.81103049,42.9489037,0,0,183,208.5967566,2020/10/22 15:18:57+00,,,,,,,,,,,,,,,,,,,,,
-78.81100122,42.94890749,0,0,184,209.0056515,2020/10/22 15:19:03+00,,,,,,,,,,,,,,,,,,,,,
-78.81103509,42.94889939,0,0,185,208.3000238,2020/10/22 15:19:20+00,,,,,,,,,,,,,,,,,,,,,
-78.81107621,42.94889691,0,0,186,208.0439369,2020/10/22 15:19:22+00,,,,,,,,,,,,,,,,,,,,,
-78.81111883,42.9489041,0,0,187,207.8509391,2020/10/22 15:19:24+00,,,,,,,,,,,,,,,,,,,,,
-78.81114515,42.94890381,0,0,188,208.0007039,2020/10/22 15:19:25+00,,,,,,,,,,,,,,,,,,,,,
-78.81118802,42.94890229,0,0,189,208.2501263,2020/10/22 15:19:27+00,,,,,,,,,,,,,,,,,,,,,
-78.81122622,42.94890315,0,0,190,208.5731311,2020/10/22 15:19:29+00,,,,,,,,,,,,,,,,,,,,,
-78.81126981,42.94889781,0,0,191,207.8030889,2020/10/22 15:19:31+00,,,,,,,,,,,,,,,,,,,,,
-78.81131793,42.94889324,0,0,192,207.9201894,2020/10/22 15:19:33+00,,,,,,,,,,,,,,,,,,,,,
-78.81136318,42.94889198,0,0,193,207.5160994,2020/10/22 15:19:35+00,,,,,,,,,,,,,,,,,,,,,
-78.81140601,42.94889073,0,0,194,207.716065,2020/10/22 15:19:37+00,,,,,,,,,,,,,,,,,,,,,
-78.81144415,42.9488962,0,0,195,207.7535578,2020/10/22 15:19:39+00,,,,,,,,,,,,,,,,,,,,,
-78.81148693,42.94889595,0,0,196,208.1207981,2020/10/22 15:19:41+00,,,,,,,,,,,,,,,,,,,,,
-78.81152604,42.94889945,0,0,197,208.9329262,2020/10/22 15:19:43+00,,,,,,,,,,,,,,,,,,,,,
